"Groovy Refactoring Commands","Convert to Groovy","Alt+J G","In Windows"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"SVN","Merge...","Ctrl+Alt+E","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"GotoExplore","GotoExplore","Ctrl+C D","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Groovy Refactoring Commands","Inline Method...","Shift+Alt+I","Editing Groovy Source"
"Groovy Source Commands","Find occurrences in current file","Shift+Ctrl+U","Editing Groovy Source"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"File","New","Ctrl+N","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Uncategorized","Find References","Shift+Ctrl+G","in Generic Code Editor"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"SVN","Synchronize with Repository","Ctrl+Alt+S","In Windows"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Run/Debug","Coverage Last Launched","Shift+Ctrl+F11","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Run/Debug","Coverage Scala Application","Shift+Alt+E L","In Windows"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Uncategorized","Open replace bar","Ctrl+Down","Inline Search is active"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Coverage Java Application","Shift+Alt+E J","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Quick Outline","Shift+Alt+O","Editing Java Source"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Run Groovy Script","Shift+Alt+X G","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Navigate","Previous","Ctrl+,","In Windows"
"Terminal Commands","Open Local Terminal on Selection","Shift+Ctrl+Alt+T","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Groovy Refactoring Commands","Convert to Method","Alt+G M","Editing Groovy Source"
"Run/Debug","Run","Ctrl+F11","In Windows"
"SVN","Latest from Repository","Ctrl+Alt+L","In Windows"
"SVN","Show Properties","Ctrl+Alt+T","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"GotoExplore","GotoEditor","Ctrl+C E","In Dialogs and Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"File","Save","Ctrl+S","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"File","Rename","F2","In Windows"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"File","Properties","Alt+Enter","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"SVN","Show Annotation...","Ctrl+Alt+A","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Window","Activate Editor","Alt+D","In Windows"
"Run/Debug","Debug Bnd OSGi Run Launcher (JUnit)","Shift+Alt+D K","In Windows"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Groovy Source Commands","Groovy code templates","Shift+Alt+Z","Editing Groovy Source"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"SVN","Lock...","Ctrl+Alt+K","In Windows"
"GotoExplore","GotoCommand","Ctrl+C C","In Dialogs and Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"File","Move...","Shift+Alt+V","Project Explorer +"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Toggle Word Wrap","Shift+Alt+Y","Editing Text"
"Run/Debug","Coverage RAP JUnit Test","Shift+Alt+E R","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Run Bnd OSGi Run Launcher","Shift+Alt+X B","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Views","Show View (JUnit)","Shift+Alt+Q J","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Navigate","Open Declaration","F3","In Windows"
